ABICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,766,108,12,586,81,7,-157,15,33,-10,20,19,769,642,848,1092,475,747,449,739,907,885,1251,1016,76,208,11,-87,-27,1,0,-40,-15,-36
ARICB,70774,76145,78080,80479,83422,78915,80100,73535,78732,86849,80190,80855,81143,87352,79024,87239,93449,99519,101860,142558,122309,65242,65154,73769,101279,91894,102017,109216,101815,99514,98621,94570,89971,82504,81208,81036,82280,76391,103334,135150,135104,125555,118493,90544,91630,87110,80492,99922,82941,52437,33127,60093,53841,60091,57377,61494
ARTCB,70774,76145,78080,80479,83422,78915,80100,73535,78732,86849,80190,80855,81143,87352,79024,87239,93449,99519,101860,142558,122309,65242,65154,73769,101279,91894,102017,109216,101815,99514,98621,94570,89971,82504,81208,81036,82280,76391,103334,135150,135104,125555,118493,90544,91630,87110,80492,99922,82941,52437,33127,60093,53841,60091,57377,61494
ARTXB,70774,76145,78080,80479,83422,78915,80100,73535,78732,86849,80190,80855,81143,87352,79024,87239,93449,99519,101860,142558,122309,65242,65154,73769,101279,91894,102017,109216,101815,99514,98621,94570,89971,82504,81208,81036,82280,76391,103334,135150,135104,125555,118493,90544,91630,87110,80492,99922,82941,52437,33127,60093,53841,60091,57377,61494
AVACB,27173,17355,24955,22040,19461,16870,16101,14298,14376,11905,11024,10278,10477,10289,9988,8280,7926,8314,8852,8489,1440,666,5779,5891,5286,6837,6754,5470,6621,6575,5581,5506,5345,4134,4003,4073,3881,4222,2899,4167,3651,2706,3025,3033,2795,2676,2326,2234,2057,1439,1757,1911,1911,1726,2371,3585
AVTCB,27173,17355,24955,22040,19461,16870,16101,14298,14376,11905,11024,10278,10477,10289,9988,8280,7926,8314,8852,8489,1440,666,5779,5891,5286,6837,6754,5470,6621,6575,5581,5506,5345,4134,4003,4073,3881,4222,2899,4167,3651,2706,3025,3033,2795,2676,2326,2234,2057,1439,1757,1911,1911,1726,2371,3585
AVTXB,27173,17355,24955,22040,19461,16870,16101,14298,14376,11905,11024,10278,10477,10289,9988,8280,7926,8314,8852,8489,1440,666,5779,5891,5286,6837,6754,5470,6621,6575,5581,5506,5345,4134,4003,4073,3881,4222,2899,4167,3651,2706,3025,3033,2795,2676,2326,2234,2057,1439,1757,1911,1911,1726,2371,3585
BMTCB,82098,83506,86898,93022,98436,97488,100673,101885,110274,116253,116839,119221,127646,130122,134723,127489,144760,151984,160261,168373,115610,133092,127114,148644,165871,167092,129117,157927,169036,235903,222587,219221,226570,193993,195852,181972,175098,158854,146909,155665,164105,164118,171469,205789,228393,225462,219073,224673,229209,236484,280124,282581,280970,294412,298985,288539
CLACB,587,258,153,166,191,199,145,122,117,91,86,59,43,43,28,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCCB,64,55,57,36,68,111,137,128,98,993,1055,35,48,0,20,0,0,0,68,67,73,38,39,39,637,974,0,11,113,194,465,841,4,2700,3282,2693,3628,2232,2426,576,500,1,1,5,168,410,30,0,0,0,0,0,0,0,0,0
CLEIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8508,18840,25499,26710,27751,26581,23328,20000,17965,20082,22121,22070,21112,22896,21715,22535,20692,21921,23358,23630,21085,21776,19692,13153,6214,6866,0
CLICB,35160,58714,39389,45876,53370,63237,51052,53530,56671,57683,59327,50886,47326,66913,60613,56397,66625,75105,67804,68481,66077,78354,69368,31976,36456,44016,42519,44937,50679,57673,64738,62994,64801,53625,54174,57900,56202,62178,43348,46772,47380,46727,47113,47749,46188,46284,45062,43136,39420,31318,33196,35572,30679,31938,32620,30967
CLKCB,34470,57507,38330,44969,52529,62570,50062,52998,56293,57289,59013,50524,47094,66579,59760,48888,50815,49435,41703,44188,40467,38726,34705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOCB,690,1208,1059,906,842,667,989,532,378,394,314,362,232,335,853,7509,15810,25670,26101,24293,25610,39628,34663,31976,36456,44016,42519,44937,50679,57673,64738,62994,64801,53625,54174,57900,56202,62178,43348,46772,47380,46727,47113,47749,46188,46284,45062,43136,39420,31318,33196,35572,30679,31938,32620,30967
CLRCB,92,79,82,50,94,147,181,169,124,1264,1343,34,36,0,9,0,0,0,20,17,19,8,8,7,149,275,0,3,32,52,116,185,1,593,579,402,495,276,300,79,62,0,0,1,19,36,3,0,0,0,0,0,0,0,0,0
CLTCB,35903,59106,39681,46127,53723,63693,51515,53949,57011,60031,61812,51015,47452,66956,60670,56405,66630,75109,67892,68565,66170,78401,69415,32022,37243,45264,42519,44951,50824,66427,84160,89519,91515,84669,84616,84323,80324,82651,66157,69547,70012,67839,70010,69469,68909,67422,67017,66495,63050,52403,54972,55264,43832,38151,39486,30967
CLTXB,35903,59106,39681,46127,53723,63693,51515,53949,57011,60031,61812,51015,47452,66956,60670,56405,66630,75109,67892,68565,66170,78401,69415,32022,37243,45264,42519,44951,50824,57919,65320,64020,64805,56918,58035,60995,60324,64686,46075,47426,47942,46727,47114,47754,46374,46730,45095,43136,39420,31318,33196,35572,30679,31938,32620,30967
COICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114700,110204,104256,85264,60083,70666,48659,42182,38947,27364,21153,18682,14535,13729,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFACB,89200,92174,107487,117241,121027,122513,129024,134232,155257,169639,171534,208201,190211,208394,185016,177824,191817,212902,243245,241251,243488,261723,243405,255052,273346,290618,309339,270737,348064,342518,323856,325205,313881,286878,324431,337210,343147,364674,364004,376996,410387,414150,421152,405115,452446,473042,485179,494331,430665,424362,429575,438167,420968,437704,460030,464250
DFCCB,3710,3402,3055,2908,3499,3264,3460,3549,3390,3559,3825,4516,4924,5850,4162,3768,4810,5642,6016,8241,18785,21745,25613,39899,46776,19899,33412,33967,34232,27198,23846,25793,13247,13748,13550,18413,14896,14476,15463,15975,18063,16515,12744,10453,9676,11451,8594,10606,16453,20296,27289,24196,21745,20143,19298,21003
DFEIB,700,678,500,458,502,486,565,529,554,576,621,1314,-84,713,412,865,1685,834,8382,12288,9215,6129,1825,1338,1531,1793,2026,2041,972,1963,1538,811,831,722,667,623,842,1649,1727,1621,5232,7981,1303,1481,1354,1404,1168,975,1012,669,436,365,354,357,380,385
DFICB,58992,61992,60572,64793,76930,75736,83086,80853,63012,50064,49569,58559,69658,82722,62233,61273,64867,77797,88521,121472,90729,103305,120550,99611,116782,103560,88746,90237,92878,95876,99470,83076,73742,75855,81300,67887,69056,81686,74767,85923,108733,126275,85211,62549,82722,76972,80437,66288,73512,59613,70494,77237,74886,74531,80147,80625
DFRCB,2825,2591,2326,2214,2665,2486,2635,2703,2582,2710,2913,3439,3750,4455,3169,2869,3663,4297,4582,6276,550,418,418,740,868,839,1416,1408,1236,1419,1174,1154,1332,1337,1334,1019,860,925,982,996,1403,1708,854,702,829,906,890,554,839,2249,934,629,370,552,543,444
DFTCB,155427,160838,173939,187614,204623,204484,218770,221865,224794,226549,228462,276030,268459,302135,254992,246600,266843,301471,350747,389528,362766,393320,391811,396640,439303,416709,434940,398389,477383,468973,449885,436039,403033,378540,421283,425152,428801,463409,456943,481512,543818,566629,521263,480299,547027,563775,576268,572755,522482,507189,528729,540594,518323,533287,560398,566707
DFTXB,154727,160160,173440,187156,204121,203999,218206,221336,224241,225972,227841,274715,268543,301422,254580,245734,265158,300637,342365,377240,353552,387191,389986,395302,437772,414916,432914,396348,476411,467010,448346,435228,402202,377818,420616,424530,427958,461760,455216,479891,538586,558648,519961,478818,545673,562371,575100,571780,521470,506520,528292,540229,517969,532929,560018,566322
DKEIB,700,678,500,458,502,486,565,529,554,576,621,1314,1452,1819,1314,1421,3647,11596,15430,17754,14754,6214,1825,1338,1531,1793,2026,2041,972,1963,1538,811,831,722,667,623,842,1649,1727,1621,5232,7981,1303,1481,1354,1404,1168,975,1012,669,436,365,354,357,380,385
ELEXB,1363,1501,1560,1519,80,10,0,0,0,0,37,37,0,5,0,0,0,0,0,0,44,120,0,23,233,488,390,302,495,1906,1787,572,86,157,346,780,967,1200,6717,4313,7254,1246,672,77,164,352,1927,999,2302,1769,1369,1311,929,207,206,509
ELIMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,149,20,115,448,14322,13288,26723,25354,16330,17545,10775,7160,6867,7360,6712,5158,5703,4613,4955,18791,11668,7051,14154,4405,19210,10019,19781,18321,10397,11852,21392,30281,37569,42204,47026
ELISB,6480,10119,-5884,-22652,-14845,-2703,14027,6948,52802,76757,137180,204032,279958,195794,259717,417168,549254,385391,443647,369623,460241,556506,623126,607930,692784,687342,722692,712617,849117,637471,717754,790680,658147,532287,553658,611846,756888,886833,831879,865793,703265,815176,865385,831956,969495,837486,820902,829649,950676,854217,835639,868273,828809,813848,821250,805608
ELNIB,-1363,-1501,-1560,-1519,-80,-10,0,0,0,0,-37,-37,0,-5,0,0,0,0,0,0,303,28,20,91,215,13834,12899,26421,24859,14424,15758,10203,7073,6710,7014,5932,4191,4502,-2104,643,11536,10423,6379,14078,4241,18858,8092,18782,16019,8628,10483,20081,29352,37362,41998,46516
EMACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,3783,3834,3084,1460,1399,2093,4060,3641,3863,4858,540,1974,2782,8666,7312,7330,5525,4807,5475,7542,8849,49263,71034,77798,76845,80803,82138,80803,124927,121519,117563,121300,124050,123677
EMCCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,26,18,10,9,18,24,21,25,27,3,2,2,7,5,5,4,3,4,5,6,36,52,57,58,60,63,61,94,93,89,96,93,3622
EMICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,16,22,17,16,24,40,38,41,54,6,17,25,80,64,67,55,28,32,98,117,681,1098,1113,1121,956,896,857,2066,2031,2108,2232,1643,2155
