VAR,MBE,R2
coalVT,0.01476563850636733,0.6790415519251813
coalVA,4.428247811071341e-07,0.09535819877569762
coalVC,4.541191250498359e-05,-2.41693462523062
coalVI,0.02890017586487148,0.5456146572761653
coalVR,8.548703023831689e-06,-1.152487516008284
ngVT,0.007846754138647738,0.8698702673478854
ngVA,0.010614055273522164,0.41137148483451236
ngVC,0.009992705286057838,0.9685224516705204
ngVI,0.023900968047387994,0.8420684982266075
ngVR,0.009798602318010658,0.9615689403127265
petroVT,0.0122409504799173,0.8602306109446823
petroVA,0.01204455487363718,0.21954176106876955
petroVC,0.00761300048647221,0.9253584479385769
petroVI,0.023888380194625636,0.7737713987387846
petroVR,0.009018907947123494,0.8960448767277354
reVT,0.012803979284734254,0.4690509761160063
reVA,0.004084514178693294,0.5621778123710444
reVC,0.006408873812919399,0.9559082651996155
reVI,0.010403344438378133,0.7932014948109842
reVR,0.007747654539405538,0.9161008944676754
nuVT,0.016706618608313045,0.8095895300345906
