VAR,MBE,R2
coalVT,0.010209263083967631,0.7140868918494483
coalVA,0.0,1.0
coalVC,0.0008410083532919505,-1.4516608156121755
coalVI,0.002766221804032419,0.3227349326216622
coalVR,0.00019106997372530604,-1.61471266128191
ngVT,0.011432350604929593,0.719858351723186
ngVA,0.05274815834084823,0.23777524915628112
ngVC,0.028034946174503216,0.7632909557720057
ngVI,0.03226885553277187,0.45070180837072493
ngVR,0.02797864762804461,0.4654990858693139
petroVT,0.0077213583258389,0.12852316266566044
petroVA,0.051551780273906576,0.20941198937049832
petroVC,0.021333113250115204,0.601647079760862
petroVI,0.02951431254155134,0.15714788812037905
petroVR,0.025397973499906835,0.3603493493340375
reVT,0.004698204183423326,0.6502022956531013
reVA,0.0024104451865525245,0.40561108137983015
reVC,0.00898955655588024,0.8721988936499103
reVI,0.010640590095180199,0.4954102375954632
reVR,0.012965475377467414,0.529390297363812
nuVT,0.0,1.0
