VAR,MBE,R2
coalVT,0.005059218989289847,0.8855129403807319
coalVA,1.474045568543032e-06,0.7862335465615038
coalVC,0.00012150123730824086,-1.2238406202111975
coalVI,0.0014087535568990527,0.5993156579091619
coalVR,2.2834684540936453e-05,-0.7999062534152099
ngVT,0.005995070670105264,0.9552195751882832
ngVA,0.0068283198752640065,0.43423882171609096
ngVC,0.014490719506598198,0.8440999516077985
ngVI,0.014593011935964632,0.8583905178433113
ngVR,0.02019050037796767,0.8635146645985641
petroVT,0.004983632207359434,0.5402569978308145
petroVA,0.007855787745508902,0.1752769874505804
petroVC,0.010715888497425885,0.3358897986889944
petroVI,0.013644751768044926,0.8598324476799883
petroVR,0.01332968904634701,0.7578974362878325
reVT,0.003324710222370763,0.6813899146598165
reVA,0.002476692101555817,0.4841783833639214
reVC,0.006103216333080605,0.9258989651485268
reVI,0.0028605402013545528,0.3610028839743161
reVR,0.008295255491815584,0.899722509359179
nuVT,0.0020423131702123356,0.8653713724985082
