VAR,MBE,R2
coalVT,0.0007169932441225815,0.09471381405341839
coalVA,3.6458920261854034e-06,-0.26956383690381513
coalVC,0.0005187688440366549,0.21551660627091984
coalVI,0.0031119430863242805,0.3288410888662944
coalVR,8.431049982549929e-05,-0.316175098935634
ngVT,0.012116237464166155,-0.11926178375211682
ngVA,0.00203236683038058,0.5062278395274062
ngVC,0.027378962423870466,0.5088905343228713
ngVI,0.04089197187102726,0.5087321971386984
ngVR,0.0185894320681474,0.8477506847020768
petroVT,0.011488104602564475,0.10578342704988564
petroVA,0.0032032464792354554,0.6061165258230407
petroVC,0.02098229621575169,-0.025681126754961037
petroVI,0.04100468885600312,0.3653661367598102
petroVR,0.00803882286099716,0.8942628142204568
reVT,0.005716922233750993,0.30338725511910725
reVT,0.0020897713366356827,0.7887563073093783
reVC,0.008462032384847398,0.8470789251062738
reVI,0.005963795030216006,0.7680875755832333
reVR,0.011720738747757491,0.7141990078372853
nuVT,0.0027044010788281813,0.7401641502130094
