VAR,MBE,R2
coalVT,0.0007128605,0.0917907516
coalVA,3.64349322268465E-06,-0.4586243438
coalVC,0.0004653038,0.3057457201
coalVI,0.0031260873,0.3207748092
coalVR,7.71813960499054E-05,-0.0342221542
ngVT,0.0130969327,-0.1732371478
ngVA,0.0020348807,0.5205976542
ngVC,0.0271415665,0.4999375957
ngVI,0.0438254181,0.446270825
ngVR,0.0175947616,0.8406401525
petroVT,0.0119797189,0.1225174936
petroVA,0.0030735116,0.7256738265
petroVC,0.0206316814,-0.0577235885
petroVI,0.0418755443,0.3139043181
petroVR,0.0081459743,0.9024228788
reVT,0.0059776512,0.2924566094
reVT,0.0012953005,0.8775787383
reVC,0.0078653372,0.8574785447
reVI,0.0060959484,0.7851840582
reVR,0.0125226579,0.6697788518
nuVT,0.0021445367,0.8154343944
