VAR,MBE,R2
coalVT,0.0007440582,0.0395767609
coalVA,3.68544405895889E-06,-0.5032511003
coalVC,0.0005225604,0.1648681593
coalVI,0.0032667214,0.2923996263
coalVR,8.7834810679008E-05,-0.4291910324
ngVT,0.0117746578,-0.0879018154
ngVA,0.0017278763,0.6302016913
ngVC,0.0254105966,0.5834449332
ngVI,0.0373966978,0.5492390329
ngVR,0.0163295562,0.8430467756
petroVT,0.0117648551,0.1119324863
petroVA,0.00261545,0.7692323576
petroVC,0.0199997453,0.0898112843
petroVI,0.0371341639,0.4452286977
petroVR,0.0078436457,0.9098927168
reVT,0.00590386,0.281885999
reVT,0.002007015,0.8554011858
reVC,0.0077917417,0.8667825363
reVI,0.0056526789,0.7982784184
reVR,0.0121963967,0.6737757758
nuVT,0.0023123055,0.8068868956
