VAR,MBE,R2
coalVT,0.0007320326,0.0413934867
coalVA,3.53377016048168E-06,-0.3783677596
coalVC,0.0005057694,0.1885610348
coalVI,0.0031695633,0.310452928
coalVR,8.35259193279669E-05,-0.2693664913
ngVT,0.0123766638,-0.0235413577
ngVA,0.0017501823,0.6050624126
ngVC,0.0240867385,0.6348101097
ngVI,0.0407630122,0.5490532228
ngVR,0.0155673549,0.872218423
petroVT,0.0112993684,0.0987718805
petroVA,0.0030451082,0.6731755165
petroVC,0.0195900967,0.1281797614
petroVI,0.0381221285,0.4773147517
petroVR,0.0084954005,0.8906659348
reVT,0.0053732761,0.3677339581
reVT,0.0019109747,0.8158521895
reVT,0.0074376998,0.9022139046
reVC,0.0063178151,0.7756594407
reVI,0.0092999322,0.7714612119
reVR,0.0021672128,0.8030349561
