VAR,Predict value
coalVT,0.17639613091119127
coalVA,-8.061470483536189e-08
coalVC,0.00010742510614802773
coalVI,0.09213461451414655
coalVR,1.7838689678499312e-05
ngVT,0.014012610158143493
ngVA,0.02485026087145096
ngVC,0.06663604262124402
ngVI,0.01096249190409368
ngVR,0.04763940528625035
petroVT,0.5921689547415442
petroVA,0.9721420505564753
petroVC,0.6297514698842261
petroVI,0.6647682216652616
petroVR,0.6112459226375592
reVT,0.10569593034845594
reVA,0.003006089061460814
reVC,0.30350304537985634
reVI,0.23213070863522406
reVR,0.34109486314344745
nuVT,0.11172618201523973
