VAR,Predict value
coalVT,0.004513015577862008
coalVA,-4.245006446376259e-06
coalVC,0.00083466630573294
coalVI,0.019179385197801286
coalVR,8.460502639180136e-05
ngVT,0.13130555474781616
ngVA,0.004112805264870662
ngVC,0.17869896521526762
ngVI,0.2676615396014628
ngVR,0.3341802181991515
petroVT,0.7280296922033203
petroVA,0.9897102523249575
petroVC,0.5561812268492439
petroVI,0.6159945193058923
petroVR,0.41919708167915193
reVT,0.11275940077534038
reVA,0.006180917837294654
reVC,0.264284458962297
reVI,0.0971641829759488
reVR,0.24653740496513296
nuVT,0.023392277608410728
