VAR,Predict value
coalVT,0.1692970410186055
coalVA,0.0
coalVC,0.0011010454851441993
coalVI,0.007398487292867439
coalVR,0.00022317321336486783
ngVT,0.11943744679145274
ngVA,0.16396889110296364
ngVC,0.21104541534053348
ngVI,0.34836330595844023
ngVR,0.3276451015389624
petroVT,0.6597106993683814
petroVA,0.8304860818149089
petroVC,0.5461677769293138
petroVI,0.5560449701904953
petroVR,0.44578767535255226
reVT,0.051554261219086246
reVA,0.005540740549579392
reVC,0.2416772050106183
reVI,0.08818905989818975
reVR,0.22633390645733387
nuVT,0.0
