ABICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,5,0,19,3,0,-5,1,1,-1,1,1,38,33,43,55,24,37,22,36,44,43,70,57,5,13,1,-6,-2,0,0,-3,-1,-2
ARICB,6397,6716,6689,6816,7773,9210,8144,7576,9667,6418,8018,5394,6402,6605,9059,10830,9699,7953,9501,9430,7553,7722,9610,11774,12613,9961,10725,13728,14019,11052,9626,10117,12434,16179,14031,12337,10936,8180,13593,12625,11778,5250,13234,13126,13206,11943,12826,15602,11727,9282,9405,10541,10257,8710,8472,8145
ARTCB,6397,6716,6689,6816,7773,9210,8144,7576,9667,6418,8018,5394,6402,6605,9059,10830,9699,7953,9501,9430,7553,7722,9610,11774,12613,9961,10725,13728,14019,11052,9626,10117,12434,16179,14031,12337,10936,8180,13593,12625,11778,5250,13234,13126,13206,11943,12826,15602,11727,9282,9405,10541,10257,8710,8472,8145
ARTXB,6397,6716,6689,6816,7773,9210,8144,7576,9667,6418,8018,5394,6402,6605,9059,10830,9699,7953,9501,9430,7553,7722,9610,11774,12613,9961,10725,13728,14019,11052,9626,10117,12434,16179,14031,12337,10936,8180,13593,12625,11778,5250,13234,13126,13206,11943,12826,15602,11727,9282,9405,10541,10257,8710,8472,8145
AVACB,1014,904,1452,1416,1592,1204,1017,722,651,637,562,591,538,427,541,410,399,412,412,402,842,687,651,535,419,478,523,438,277,487,433,473,473,358,312,269,508,514,308,351,370,399,372,325,448,301,245,232,598,437,242,227,210,188,229,183
AVTCB,1014,904,1452,1416,1592,1204,1017,722,651,637,562,591,538,427,541,410,399,412,412,402,842,687,651,535,419,478,523,438,277,487,433,473,473,358,312,269,508,514,308,351,370,399,372,325,448,301,245,232,598,437,242,227,210,188,229,183
AVTXB,1014,904,1452,1416,1592,1204,1017,722,651,637,562,591,538,427,541,410,399,412,412,402,842,687,651,535,419,478,523,438,277,487,433,473,473,358,312,269,508,514,308,351,370,399,372,325,448,301,245,232,598,437,242,227,210,188,229,183
BMTCB,6628,6383,6119,6012,6201,5627,5504,5312,5259,5014,4858,4679,4536,4221,4153,5343,5991,7036,7677,9220,5245,6812,7214,8267,8947,9185,9389,6882,7557,6826,5892,6168,5962,5098,5225,6322,5672,6402,6929,6613,7237,4336,4400,4298,4289,13013,12761,14234,16507,14584,17663,17054,16180,17990,17356,16076
CLACB,41,8,5,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCCB,393,320,285,198,152,111,68,46,36,19,8,12,0,0,0,0,0,0,0,60,688,82,200,184,128,124,77,83,47,145,75,122,146,159,150,134,136,135,198,133,135,84,83,66,69,69,71,65,0,0,0,0,0,0,0,0
CLEIB,649,776,623,14683,30065,43527,36544,43636,42507,49903,99130,120420,123648,134081,140796,132535,137332,153553,144025,150860,201825,194110,222547,261311,251086,266421,239471,259522,264947,278747,274691,233269,266311,268777,276718,273390,277366,286690,288570,296346,303456,295223,282232,303562,307363,315915,314207,294112,282781,304700,266382,284166,262424,255137,213898,214013
CLICB,2416,1739,1129,607,840,491,325,400,382,279,232,251,159,410,151,0,160,368,1713,2005,175,2723,2761,2125,1623,1795,2029,1039,1118,904,877,883,979,1302,1491,1673,1629,1664,1574,1608,1906,1778,1806,2003,1978,1926,1936,1882,1564,1462,1092,571,1015,1240,1450,1691
CLKCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOCB,2416,1739,1129,607,840,491,325,400,382,279,232,251,159,410,151,0,160,368,1713,2005,175,2723,2761,2125,1623,1795,2029,1039,1118,904,877,883,979,1302,1491,1673,1629,1664,1574,1608,1906,1778,1806,2003,1978,1926,1936,1882,1564,1462,1092,571,1015,1240,1450,1691
CLRCB,565,460,410,274,210,147,91,60,45,25,10,11,0,0,0,0,0,0,0,15,183,18,41,35,30,35,23,25,13,39,19,27,32,35,26,20,19,17,25,18,17,10,11,10,8,6,7,7,0,0,0,0,0,0,0,0
CLTCB,4064,3303,2451,15765,31271,44277,37029,44143,42971,50226,99380,120695,123807,134490,140947,132535,137492,153922,145738,152939,202870,196933,225549,263654,252868,268374,241600,260668,266124,279835,275661,234301,267469,270273,278385,275217,279149,288506,290367,298105,305513,297096,284132,305641,309418,317916,316221,296067,284346,306162,267474,284737,263439,256377,215348,215703
CLTXB,3415,2526,1828,1082,1206,750,485,507,464,323,251,275,159,410,151,0,160,368,1713,2079,1046,2823,3002,2343,1782,1953,2129,1147,1178,1088,970,1032,1158,1496,1667,1826,1783,1816,1797,1759,2057,1872,1900,2079,2055,2001,2014,1954,1564,1462,1092,571,1015,1240,1450,1691
COICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFACB,11179,10721,13866,15079,14335,15250,14714,12951,16283,17140,18396,19016,23386,26505,26435,24468,27166,30364,35858,32847,31519,47378,32664,21499,23150,25666,30775,33705,34957,34656,35041,35909,40736,34896,31915,16709,45418,49495,54093,52501,54274,57166,57770,61198,66391,68372,76477,75440,64162,61514,67847,71791,71441,72671,77123,80048
DFCCB,623,539,501,431,570,380,296,220,323,396,663,739,802,1198,972,1043,1146,1742,1622,1107,772,3969,3252,2835,2243,1862,1751,2578,2076,2085,2481,2028,1056,1651,1081,1409,1023,983,804,1838,1545,2036,1913,2333,2345,3656,1749,1093,3461,1565,1348,1385,1269,1265,1696,1719
DFEIB,61,60,39,37,35,24,29,36,19,22,49,80,72,127,189,198,226,179,140,110,1260,725,924,481,209,265,244,305,303,283,214,332,413,410,269,254,250,240,262,421,392,355,315,510,307,374,425,476,588,493,534,415,506,637,711,728
DFICB,5988,5241,6071,5555,8052,7022,5721,4289,7702,8802,12388,11622,13961,16684,12697,13390,14092,18957,17742,20829,12792,20467,9490,14430,11421,15116,16381,14681,13207,9247,8658,10384,8390,7372,6305,11099,11777,12107,11032,12654,13215,12683,12092,13925,13265,11187,12858,13451,13409,8608,9407,9375,11026,11676,14450,8813
DFRCB,17,14,13,12,15,10,8,6,9,11,18,20,21,32,26,28,31,47,43,30,64,105,139,99,78,86,151,46,45,43,48,38,63,30,40,17,16,16,12,117,36,27,41,18,23,21,18,21,13,8,7,5,4,10,7,9
DFTCB,17867,16574,20489,21114,23007,22687,20768,17502,24336,26371,31513,31477,38242,44545,40319,39127,42662,51289,55406,54922,46408,72644,46470,39343,37101,42994,49302,51316,50588,46314,46442,48692,50659,44359,39611,29488,58484,62840,66202,67531,69462,72267,72131,77985,82331,83609,91527,90481,81632,72188,79142,82972,84246,86259,93988,91316
DFTXB,17806,16515,20451,21077,22972,22663,20739,17465,24317,26349,31465,31397,38170,44419,40130,38929,42435,51110,55265,54813,45148,71919,45546,38862,36892,42730,49058,51011,50285,46031,46228,48360,50246,43949,39342,29234,58234,62600,65940,67110,69070,71912,71816,77474,82024,83235,91101,90005,81044,71695,78608,82557,83740,85622,93276,90588
