ABICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,1329,196,24,1050,145,12,-278,27,61,-21,40,37,1582,1373,1805,2363,1036,1665,997,1614,1974,1992,2889,2150,164,466,26,-220,-67,3,-1,-110,-41,-104
ARICB,41700,48305,50029,47427,48851,51835,56113,59553,61556,66145,78868,76175,75513,77978,81042,54080,44787,36099,47414,62155,72373,52579,52123,77780,71200,78355,90548,83620,95781,64249,92991,62183,78307,84504,72643,78263,79380,69739,74330,55993,52804,77777,87617,92344,86175,114068,104458,100465,71107,38051,44093,34084,38102,40617,43196,50030
ARTCB,41700,48305,50029,47427,48851,51835,56113,59553,61556,66145,78868,76175,75513,77978,81042,54080,44787,36099,47414,62155,72373,52579,52123,77780,71200,78355,90548,83620,95781,64249,92991,62183,78307,84504,72643,78263,79380,69739,74330,55993,52804,77777,87617,92344,86175,114068,104458,100465,71107,38051,44093,34084,38102,40617,43196,50030
ARTXB,41700,48305,50029,47427,48851,51835,56113,59553,61556,66145,78868,76175,75513,77978,81042,54080,44787,36099,47414,62155,72373,52579,52123,77780,71200,78355,90548,83620,95781,64249,92991,62183,78307,84504,72643,78263,79380,69739,74330,55993,52804,77777,87617,92344,86175,114068,104458,100465,71107,38051,44093,34084,38102,40617,43196,50030
AVACB,16460,14414,19603,18448,17014,17453,15202,13483,11221,11039,10131,10085,7898,7847,8092,6624,6411,6873,6454,5936,6380,6570,4559,3848,4859,6649,7771,5806,5112,4138,4230,3309,3955,3498,3902,3255,3155,3320,2799,4017,3073,2362,2690,2581,2443,2579,2495,2484,2112,1753,3138,3413,3498,3288,2277,1841
AVTCB,16460,14414,19603,18448,17014,17453,15202,13483,11221,11039,10131,10085,7898,7847,8092,6624,6411,6873,6454,5936,6380,6570,4559,3848,4859,6649,7771,5806,5112,4138,4230,3309,3955,3498,3902,3255,3155,3320,2799,4017,3073,2362,2690,2581,2443,2579,2495,2484,2112,1753,3138,3413,3498,3288,2277,1841
AVTXB,16460,14414,19603,18448,17014,17453,15202,13483,11221,11039,10131,10085,7898,7847,8092,6624,6411,6873,6454,5936,6380,6570,4559,3848,4859,6649,7771,5806,5112,4138,4230,3309,3955,3498,3902,3255,3155,3320,2799,4017,3073,2362,2690,2581,2443,2579,2495,2484,2112,1753,3138,3413,3498,3288,2277,1841
BMTCB,38296,38880,39275,37709,39136,41196,43785,43901,49149,51073,52207,51251,58945,60439,59656,55820,64884,70366,76252,77273,55648,58544,70015,66418,77878,81664,92451,98225,99028,112011,98022,98409,108088,98558,98792,103690,100412,106311,99146,82866,86905,76166,83739,80860,77141,81554,115268,138128,174293,140097,179840,205461,200194,197910,214212,215666
CLACB,295,57,54,47,64,61,52,36,34,25,29,18,14,34,26,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCCB,107,65,68,53,44,39,44,36,17,13,11,8,8,10,13,0,0,22,0,0,12,79,109,0,0,123,269,527,862,246,216,225,175,94,2,0,0,2,315,119,181,386,1075,2350,252,284,2,0,319,375,287,300,280,241,225,171
