"Data_Status","State","MSN","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AK","GDPRX",37880.00,36889.00,36617.00,35909.00,37102.00,38605.00,38262.00,39648.00,40767.00,43455.00,45735.00,46422.00,50463.00,49671.00,51004.00,53719.00,51361.00,49662.00,49947.00
"2015F","AL","GDPRX",137143.00,141672.00,146666.00,148188.00,148824.00,152630.00,156970.00,166286.00,171723.00,174675.00,175332.00,174459.00,168315.00,171861.00,173760.00,175420.00,177049.00,176960.00,178893.00
"2015F","AR","GDPRX",79164.00,80136.00,84533.00,85271.00,85283.00,87979.00,91767.00,96064.00,99144.00,101028.00,100287.00,100485.00,98020.00,101309.00,103312.00,103170.00,106112.00,107548.00,107786.00
"2015F","AZ","GDPRX",163114.00,177319.00,192410.00,202215.00,206560.00,212195.00,224650.00,232105.00,251185.00,265798.00,272417.00,262521.00,242509.00,243101.00,247414.00,252545.00,253743.00,258228.00,261891.00
"2015F","CA","GDPRX",1343127.00,1421713.00,1525588.00,1638988.00,1627983.00,1669677.00,1745049.00,1832792.00,1910337.00,1975457.00,1999340.00,1993244.00,1912115.00,1936487.00,1962926.00,2013611.00,2064534.00,2141906.00,2235433.00
"2015F","CO","GDPRX",175029.00,192216.00,207243.00,222942.00,226211.00,228429.00,229800.00,229129.00,238417.00,243172.00,250252.00,252558.00,247270.00,248667.00,252256.00,257622.00,265880.00,278281.00,286728.00
"2015F","CT","GDPRX",183342.00,189859.00,195476.00,209329.00,212395.00,211789.00,214003.00,227364.00,231573.00,237280.00,247248.00,243856.00,233562.00,232357.00,228454.00,228212.00,224931.00,223546.00,228517.00
"2015F","DC","GDPRX",74610.00,75778.00,78951.00,79302.00,83072.00,85221.00,86767.00,90878.00,92500.00,93801.00,96309.00,99039.00,98415.00,101689.00,103539.00,103733.00,103540.00,105042.00,106742.00
"2015F","DE","GDPRX",43065.00,47120.00,51765.00,54253.00,56618.00,54701.00,55588.00,57741.00,57069.00,58308.00,57835.00,55273.00,57350.00,56541.00,57919.00,57013.00,56189.00,59155.00,60458.00
"2015F","FL","GDPRX",537176.00,569488.00,597492.00,623599.00,645193.00,671816.00,696876.00,726845.00,773024.00,797997.00,799113.00,764086.00,721755.00,727658.00,723317.00,729372.00,744576.00,763681.00,791435.00
"2015F","GA","GDPRX",314114.00,336066.00,359468.00,373907.00,378479.00,380923.00,391928.00,408639.00,424964.00,430438.00,433595.00,420483.00,404575.00,408248.00,413457.00,418312.00,424360.00,436912.00,447887.00
"2015F","HI","GDPRX",53108.00,51723.00,52524.00,53710.00,53669.00,55358.00,58100.00,61606.00,64824.00,66313.00,67421.00,67721.00,65382.00,67403.00,67971.00,68913.00,69676.00,70105.00,71714.00
"2015F","IA","GDPRX",107893.00,108526.00,110785.00,116421.00,114313.00,117579.00,122580.00,131746.00,135042.00,136928.00,142475.00,140017.00,137069.00,139979.00,142603.00,147665.00,148419.00,152970.00,156369.00
"2015F","ID","GDPRX",35356.00,37144.00,40719.00,45286.00,44073.00,45087.00,46401.00,48247.00,51266.00,54240.00,55810.00,56296.00,53882.00,54389.00,54288.00,54411.00,56014.00,57335.00,58621.00
"2015F","IL","GDPRX",553662.00,568418.00,589098.00,611079.00,610054.00,612721.00,621458.00,635518.00,646092.00,663632.00,671051.00,655275.00,638032.00,645983.00,658411.00,671493.00,669261.00,679343.00,686010.00
"2015F","IN","GDPRX",222040.00,235591.00,243138.00,251015.00,245953.00,252205.00,260871.00,268914.00,268886.00,274074.00,281626.00,279574.00,262068.00,279068.00,280588.00,281540.00,288157.00,293998.00,296235.00
"2015F","KS","GDPRX",98817.00,102346.00,105007.00,107539.00,107398.00,109000.00,111492.00,111419.00,114578.00,120445.00,126143.00,129313.00,123986.00,126485.00,130493.00,131320.00,131536.00,133379.00,136296.00
"2015F","KY","GDPRX",139389.00,143394.00,148051.00,143791.00,144407.00,147894.00,151226.00,155326.00,159800.00,163941.00,162430.00,162481.00,156319.00,163417.00,165712.00,166852.00,168306.00,169013.00,170803.00
"2015F","LA","GDPRX",180085.00,184356.00,188210.00,181910.00,184946.00,187788.00,195646.00,203511.00,215120.00,211535.00,205120.00,206601.00,210879.00,220884.00,209151.00,209373.00,202289.00,205686.00,206802.00
"2015F","MA","GDPRX",293755.00,305814.00,322102.00,348183.00,352601.00,354450.00,362104.00,369983.00,376358.00,382718.00,392035.00,392817.00,385698.00,399239.00,408409.00,415832.00,415030.00,421940.00,437633.00
"2015F","MD","GDPRX",216432.00,224832.00,233863.00,242282.00,251494.00,259585.00,266410.00,280380.00,290581.00,296547.00,297630.00,300601.00,300929.00,310702.00,316774.00,318146.00,318888.00,322253.00,329090.00
"2015F","ME","GDPRX",41367.00,42674.00,44718.00,46618.00,47564.00,48708.00,49825.00,51351.00,51381.00,52002.00,51683.00,51236.00,50405.00,50921.00,50180.00,50106.00,49810.00,50586.00,51118.00
"2015F","MI","GDPRX",386554.00,392288.00,413344.00,420241.00,408463.00,419731.00,427565.00,426182.00,431383.00,423582.00,419302.00,396515.00,363146.00,382885.00,392653.00,400063.00,405793.00,411639.00,422800.00
"2015F","MN","GDPRX",203067.00,212772.00,220566.00,234732.00,235075.00,240628.00,251512.00,260777.00,267476.00,266429.00,267393.00,268824.00,258166.00,266346.00,272105.00,275859.00,281759.00,289040.00,292655.00
"2015F","MO","GDPRX",217476.00,222481.00,228321.00,235057.00,233240.00,235058.00,240041.00,245100.00,247860.00,250021.00,250581.00,255426.00,250436.00,253059.00,250034.00,252620.00,256738.00,257237.00,260933.00
"2015F","MS","GDPRX",78492.00,80537.00,82752.00,83074.00,82326.00,83061.00,86448.00,88142.00,89539.00,91544.00,93828.00,97655.00,93669.00,94124.00,92821.00,94880.00,95465.00,94326.00,94564.00
"2015F","MT","GDPRX",26682.00,27924.00,28177.00,28830.00,29269.00,29949.00,31128.00,32429.00,33957.00,35030.00,36720.00,36749.00,36079.00,37380.00,38458.00,38737.00,39026.00,40111.00,40958.00
"2015F","NC","GDPRX",301144.00,315199.00,332374.00,340989.00,348010.00,353393.00,361078.00,375195.00,392112.00,413835.00,414323.00,424200.00,407846.00,412377.00,417143.00,415761.00,422644.00,430876.00,442515.00
"2015F","ND","GDPRX",20651.00,21676.00,21718.00,22514.00,22967.00,24182.00,25689.00,25852.00,26666.00,27771.00,28976.00,31812.00,32489.00,35200.00,39117.00,47816.00,48981.00,52575.00,50939.00
"2015F","NE","GDPRX",66393.00,67545.00,68999.00,71571.00,72624.00,73878.00,78072.00,79575.00,81139.00,83415.00,84714.00,85813.00,86961.00,90713.00,94619.00,93957.00,96352.00,99887.00,100139.00
"2015F","NH","GDPRX",47050.00,50072.00,51534.00,55125.00,55920.00,57503.00,59667.00,61244.00,62791.00,63924.00,63814.00,62956.00,62205.00,63721.00,63952.00,64278.00,64641.00,65746.00,67112.00
"2015F","NJ","GDPRX",408007.00,417249.00,431110.00,452735.00,458601.00,469048.00,480793.00,485791.00,491152.00,499482.00,502104.00,503365.00,482143.00,484410.00,480101.00,489453.00,496128.00,496542.00,504605.00
"2015F","NM","GDPRX",64422.00,63999.00,67614.00,68793.00,69448.00,71283.00,74311.00,79119.00,79596.00,80852.00,80984.00,82853.00,82838.00,83203.00,83457.00,83547.00,82696.00,85075.00,86495.00
"2015F","NV","GDPRX",84794.00,89089.00,95801.00,100143.00,102262.00,105404.00,110803.00,122731.00,133258.00,138235.00,137385.00,130787.00,120202.00,120537.00,121118.00,119411.00,120027.00,121612.00,125874.00
"2015F","NY","GDPRX",915016.00,938989.00,988849.00,1022817.00,1056708.00,1053325.00,1049993.00,1078573.00,1119304.00,1145537.00,1148293.00,1124539.00,1148407.00,1188749.00,1194300.00,1231862.00,1228488.00,1250544.00,1265637.00
"2015F","OH","GDPRX",446980.00,466789.00,476231.00,484975.00,477602.00,488461.00,496785.00,508865.00,512223.00,511281.00,510613.00,501477.00,479526.00,492419.00,510190.00,518583.00,523587.00,537801.00,543421.00
"2015F","OK","GDPRX",109918.00,111739.00,113580.00,117500.00,121910.00,123221.00,125407.00,129144.00,133649.00,141576.00,144343.00,146936.00,143648.00,144003.00,151302.00,159785.00,166762.00,174513.00,179210.00
"2015F","OR","GDPRX",112239.00,118195.00,120662.00,130992.00,128873.00,132346.00,137886.00,150617.00,153771.00,167952.00,173109.00,182813.00,181022.00,190371.00,198298.00,192598.00,188806.00,191838.00,200394.00
"2015F","PA","GDPRX",473943.00,488899.00,503011.00,514175.00,522191.00,527231.00,538948.00,553326.00,560689.00,563253.00,582088.00,591039.00,573964.00,589684.00,597346.00,607172.00,617053.00,628725.00,644947.00
"2015F","RI","GDPRX",38989.00,40360.00,41651.00,43476.00,44388.00,45881.00,47809.00,49763.00,50380.00,51304.00,49838.00,48262.00,47709.00,48803.00,48424.00,48631.00,48815.00,49210.00,49738.00
"2015F","SC","GDPRX",131498.00,136129.00,142007.00,145153.00,145941.00,149281.00,154734.00,156328.00,159689.00,162660.00,167649.00,166820.00,160439.00,162840.00,166389.00,166858.00,170217.00,175248.00,180111.00
"2015F","SD","GDPRX",22910.00,24204.00,25195.00,26909.00,27535.00,30448.00,31244.00,32392.00,33162.00,33533.00,34845.00,36373.00,36687.00,37228.00,39548.00,39189.00,39601.00,39879.00,40928.00
"2015F","TN","GDPRX",202976.00,213093.00,219514.00,221830.00,222160.00,229019.00,236620.00,246938.00,250834.00,256809.00,254269.00,255826.00,246541.00,250261.00,257138.00,265211.00,269453.00,273748.00,282251.00
"2015F","TX","GDPRX",816575.00,866952.00,900960.00,930610.00,954786.00,968721.00,976634.00,1023202.00,1047014.00,1111803.00,1166680.00,1173697.00,1166516.00,1197006.00,1240117.00,1310522.00,1377100.00,1427880.00,1492761.00
"2015F","US","GDPRX",11034900.00,11525900.00,12065900.00,12559700.00,12682200.00,12908800.00,13271100.00,13773500.00,14234200.00,14613800.00,14873700.00,14830400.00,14418700.00,14783800.00,15020600.00,15354600.00,15612200.00,15982300.00,16397200.00
"2015F","UT","GDPRX",75322.00,80085.00,83918.00,86850.00,88719.00,90119.00,92268.00,96277.00,102382.00,111133.00,117659.00,115509.00,113194.00,115177.00,118254.00,119739.00,122685.00,126701.00,132199.00
"2015F","VA","GDPRX",294126.00,308784.00,323570.00,336195.00,346918.00,349495.00,362386.00,376770.00,396319.00,405682.00,408148.00,407227.00,407302.00,416903.00,419724.00,422269.00,422275.00,422546.00,432742.00
"2015F","VT","GDPRX",19545.00,20122.00,21216.00,22326.00,23031.00,23719.00,24644.00,25519.00,25835.00,26008.00,25857.00,26067.00,25527.00,26398.00,27027.00,26963.00,26913.00,26985.00,27232.00
"2015F","WA","GDPRX",259637.00,275275.00,295582.00,295895.00,289754.00,295688.00,300010.00,305266.00,325105.00,337015.00,357635.00,360521.00,348465.00,355228.00,358185.00,368474.00,377393.00,387988.00,399401.00
"2015F","WI","GDPRX",203610.00,210292.00,218921.00,225228.00,227508.00,232477.00,238716.00,245125.00,250305.00,253867.00,255091.00,251711.00,244995.00,251086.00,256396.00,259863.00,263282.00,266844.00,270277.00
"2015F","WV","GDPRX",55382.00,56244.00,58355.00,58084.00,58120.00,58687.00,58711.00,59692.00,61219.00,62165.00,62160.00,63821.00,63866.00,65581.00,66935.00,65925.00,66261.00,66844.00,67111.00
"2015F","WY","GDPRX",22801.00,23387.00,24284.00,25118.00,26542.00,26961.00,27655.00,28433.00,29637.00,33152.00,35019.00,37776.00,37129.00,36469.00,36326.00,35054.00,35410.00,35846.00,35726.00
